----------------------------------------------------
CREATING urbs MODEL
CREATING oemof MODEL
----------------------------------------------------
OBJECTIVE
urbs	 29259572784.55652
oemof	 29259572784.55721
Diff	 -0.000690460205078125
----------------------------------------------------
Memory Used
urbs	 144.0  Mb
oemof	 79.5  Mb
Diff	 64.5  Mb
----------------------------------------------------
Constraint Amount
urbs	 143352
oemof	 82967
Diff	 60385
----------------------------------------------------
----------------------------------------------------
i 	 Storage Hesse 	 (urbs - oemof)
60 	 Storage CON 	 Diff: 14.616605140040065
61 	 Storage OUT 	 Diff: 160.430706696968
61 	 Storage CON 	 Diff: -145.81410155692993
62 	 Storage CON 	 Diff: -145.81410155682988
63 	 Storage CON 	 Diff: -145.8141015568201
64 	 Storage OUT 	 Diff: -145.81410155682303
74 	 Storage IN 	 Diff: -198.19291542523797
74 	 Storage CON 	 Diff: -158.55433234019102
75 	 Storage IN 	 Diff: 198.192915425264
79 	 Storage IN 	 Diff: 488.31631318767137
79 	 Storage CON 	 Diff: 390.65305055015006
80 	 Storage IN 	 Diff: -341.33879686612
80 	 Storage CON 	 Diff: 117.58201305726016
81 	 Storage CON 	 Diff: 117.58201305726016
82 	 Storage CON 	 Diff: 117.58201305726016
83 	 Storage CON 	 Diff: 117.58201305726016
84 	 Storage CON 	 Diff: 117.58201305726016
85 	 Storage CON 	 Diff: 117.58201305726016
86 	 Storage CON 	 Diff: 117.58201305726016
87 	 Storage CON 	 Diff: 117.58201305726016
88 	 Storage IN 	 Diff: -146.977516321568
----------------------------------------------------
i 	 Storage Rhineland-Palatinate 	 (urbs - oemof)
10 	 Storage OUT 	 Diff: -17.0562409413824
10 	 Storage CON 	 Diff: 17.05624094138966
11 	 Storage OUT 	 Diff: -78.67476497482302
11 	 Storage CON 	 Diff: 95.73100591619959
12 	 Storage CON 	 Diff: 95.73100591619982
13 	 Storage CON 	 Diff: 95.73100591621005
14 	 Storage OUT 	 Diff: -61.4966866986475
14 	 Storage CON 	 Diff: 157.22769261484996
15 	 Storage CON 	 Diff: 157.22769261484996
16 	 Storage CON 	 Diff: 157.22769261484996
17 	 Storage CON 	 Diff: 157.22769261485018
18 	 Storage CON 	 Diff: 157.2276926148602
19 	 Storage OUT 	 Diff: 157.22769261485684
61 	 Storage OUT 	 Diff: 105.475513671194
61 	 Storage CON 	 Diff: -105.47551367119013
62 	 Storage CON 	 Diff: -105.47551367132019
63 	 Storage OUT 	 Diff: -105.47551367133403
74 	 Storage IN 	 Diff: 198.19291542524002
74 	 Storage CON 	 Diff: 158.55433234019984
75 	 Storage IN 	 Diff: -198.1929154252531
84 	 Storage OUT 	 Diff: 29.170429550232996
84 	 Storage CON 	 Diff: -29.170429550240442
85 	 Storage CON 	 Diff: -29.170429550240442
86 	 Storage CON 	 Diff: -29.170429550240442
87 	 Storage CON 	 Diff: -29.170429550240442
88 	 Storage CON 	 Diff: -29.170429550240442
89 	 Storage CON 	 Diff: -29.170429550230438
90 	 Storage OUT 	 Diff: -42.455613369719
90 	 Storage CON 	 Diff: 13.285183819480153
91 	 Storage CON 	 Diff: 13.285183819479698
92 	 Storage CON 	 Diff: 13.285183819479698
93 	 Storage OUT 	 Diff: 13.285183819479016
----------------------------------------------------
i 	 Storage Bremen 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Mecklenburg-Vorpommern 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Saxony-Anhalt 	 (urbs - oemof)
1 	 Storage IN 	 Diff: 71.6250000000001
1 	 Storage CON 	 Diff: 57.30000000000001
2 	 Storage CON 	 Diff: 57.299999999999955
3 	 Storage CON 	 Diff: 57.299999999999955
4 	 Storage IN 	 Diff: -71.62500000000017
7 	 Storage OUT 	 Diff: 79.7
7 	 Storage CON 	 Diff: -79.69999999999999
8 	 Storage CON 	 Diff: -79.69999999999999
9 	 Storage OUT 	 Diff: -34.900000000000205
9 	 Storage CON 	 Diff: -44.80000000000001
10 	 Storage CON 	 Diff: -44.79999999999998
11 	 Storage CON 	 Diff: -44.79999999999998
12 	 Storage CON 	 Diff: -44.8
13 	 Storage CON 	 Diff: -44.8
14 	 Storage OUT 	 Diff: -44.8
15 	 Storage OUT 	 Diff: 79.7
15 	 Storage CON 	 Diff: -79.7
16 	 Storage CON 	 Diff: -79.7
17 	 Storage OUT 	 Diff: -79.7
21 	 Storage IN 	 Diff: 16.1499999999998
21 	 Storage CON 	 Diff: 12.9199999999998
22 	 Storage CON 	 Diff: 12.9199999999998
23 	 Storage IN 	 Diff: 63.550000000000004
23 	 Storage CON 	 Diff: 63.75999999999989
24 	 Storage CON 	 Diff: 63.75999999999999
25 	 Storage CON 	 Diff: 63.75999999999999
26 	 Storage CON 	 Diff: 63.75999999999999
27 	 Storage CON 	 Diff: 63.76000000000005
28 	 Storage CON 	 Diff: 63.75999999999999
29 	 Storage CON 	 Diff: 63.75999999999999
30 	 Storage CON 	 Diff: 63.75999999999999
31 	 Storage IN 	 Diff: -79.7
36 	 Storage OUT 	 Diff: -34.900000000000105
36 	 Storage CON 	 Diff: 34.900000000000034
37 	 Storage OUT 	 Diff: -44.8
37 	 Storage CON 	 Diff: 79.70000000000002
38 	 Storage CON 	 Diff: 79.70000000000002
39 	 Storage OUT 	 Diff: 79.7
47 	 Storage IN 	 Diff: -24.6435170517822
47 	 Storage CON 	 Diff: -19.7148136414257
48 	 Storage CON 	 Diff: -19.7148136414257
49 	 Storage CON 	 Diff: -19.714813641426005
50 	 Storage CON 	 Diff: -19.71481364142599
51 	 Storage CON 	 Diff: -19.71481364142599
52 	 Storage CON 	 Diff: -19.714813641425962
53 	 Storage CON 	 Diff: -19.71481364142602
54 	 Storage CON 	 Diff: -19.71481364142602
55 	 Storage CON 	 Diff: -19.71481364142602
56 	 Storage CON 	 Diff: -19.71481364142602
57 	 Storage CON 	 Diff: -19.71481364142602
58 	 Storage CON 	 Diff: -19.71481364142602
59 	 Storage CON 	 Diff: -19.714813641421017
60 	 Storage CON 	 Diff: -19.714813641421017
61 	 Storage CON 	 Diff: -19.714813641421017
62 	 Storage CON 	 Diff: -19.714813641421017
63 	 Storage CON 	 Diff: -19.714813641421017
64 	 Storage CON 	 Diff: -19.714813641421017
65 	 Storage CON 	 Diff: -19.71481364142099
66 	 Storage CON 	 Diff: -19.714813641421003
67 	 Storage CON 	 Diff: -19.714813641421095
68 	 Storage CON 	 Diff: -19.714813641421095
69 	 Storage CON 	 Diff: -19.714813641421095
70 	 Storage CON 	 Diff: -19.714813641421095
71 	 Storage CON 	 Diff: -19.714813641421095
72 	 Storage IN 	 Diff: 24.6435170517761
----------------------------------------------------
i 	 Storage Schleswig-Holstein 	 (urbs - oemof)
2 	 Storage IN 	 Diff: 70.86315744723039
2 	 Storage CON 	 Diff: 56.69052595778396
3 	 Storage IN 	 Diff: -70.8631574472303
11 	 Storage OUT 	 Diff: -1.237310191791508
11 	 Storage CON 	 Diff: 1.2373101917920053
12 	 Storage CON 	 Diff: 1.2373101917920053
13 	 Storage CON 	 Diff: 1.2373101917919485
14 	 Storage CON 	 Diff: 1.2373101917919485
15 	 Storage CON 	 Diff: 1.2373101917919485
16 	 Storage CON 	 Diff: 1.237310191798997
17 	 Storage CON 	 Diff: 1.2373101917986986
18 	 Storage OUT 	 Diff: 1.2373101917986986
37 	 Storage OUT 	 Diff: 4.5
37 	 Storage CON 	 Diff: -4.5
38 	 Storage OUT 	 Diff: -4.50000000000003
----------------------------------------------------
i 	 Storage Offshore 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Thuringia 	 (urbs - oemof)
1 	 Storage IN 	 Diff: -25.96751972665993
1 	 Storage CON 	 Diff: -20.774015781289563
2 	 Storage CON 	 Diff: -20.774015781280468
3 	 Storage CON 	 Diff: -20.774015781280468
4 	 Storage IN 	 Diff: 25.96751972673019
7 	 Storage OUT 	 Diff: -88.55555555553997
7 	 Storage CON 	 Diff: 88.55555555560022
8 	 Storage CON 	 Diff: 88.55555555563842
9 	 Storage OUT 	 Diff: 38.77777777779011
9 	 Storage CON 	 Diff: 49.77777777785013
10 	 Storage CON 	 Diff: 49.77777777785013
11 	 Storage CON 	 Diff: 49.77777777785013
12 	 Storage CON 	 Diff: 49.77777777785013
13 	 Storage CON 	 Diff: 49.77777777785013
14 	 Storage OUT 	 Diff: 49.77777777778198
15 	 Storage OUT 	 Diff: -88.55555555554399
15 	 Storage CON 	 Diff: 88.55555555561
16 	 Storage CON 	 Diff: 88.55555555559806
17 	 Storage OUT 	 Diff: 88.555555555576
20 	 Storage IN 	 Diff: -2.073811713180021
20 	 Storage CON 	 Diff: -1.659049370544949
21 	 Storage IN 	 Diff: 122.51577545388
21 	 Storage CON 	 Diff: 96.35357099254998
22 	 Storage CON 	 Diff: 96.35357099255998
23 	 Storage IN 	 Diff: 730.6587244355771
23 	 Storage CON 	 Diff: 680.8805505410196
24 	 Storage CON 	 Diff: 680.8805505410196
25 	 Storage CON 	 Diff: 680.88055054102
26 	 Storage CON 	 Diff: 680.88055054102
27 	 Storage CON 	 Diff: 680.88055054102
28 	 Storage CON 	 Diff: 680.88055054102
29 	 Storage CON 	 Diff: 680.880550541
30 	 Storage CON 	 Diff: 680.880550541
31 	 Storage IN 	 Diff: -851.1006881761605
34 	 Storage OUT 	 Diff: 186.95118653528016
34 	 Storage CON 	 Diff: -186.95118653519967
35 	 Storage OUT 	 Diff: -34.48638485336005
35 	 Storage CON 	 Diff: -152.46480168183916
36 	 Storage OUT 	 Diff: 218.3611865353089
36 	 Storage CON 	 Diff: -370.82598821714964
37 	 Storage OUT 	 Diff: -369.4643477955101
37 	 Storage CON 	 Diff: -1.3616404216299998
38 	 Storage OUT 	 Diff: 151.75912911921694
38 	 Storage CON 	 Diff: -153.12076954084932
39 	 Storage OUT 	 Diff: 214.6664393813369
39 	 Storage CON 	 Diff: -367.7872089221901
40 	 Storage OUT 	 Diff: -6.015646607080043
40 	 Storage CON 	 Diff: -361.77156231510025
41 	 Storage CON 	 Diff: -361.7715623151098
42 	 Storage CON 	 Diff: -361.826317581475
43 	 Storage OUT 	 Diff: -361.8263175814759
59 	 Storage OUT 	 Diff: -199.855181964365
59 	 Storage CON 	 Diff: 199.85518196451994
60 	 Storage OUT 	 Diff: -80.33227228644
60 	 Storage CON 	 Diff: 280.18745425094994
61 	 Storage OUT 	 Diff: 162.992439060609
61 	 Storage CON 	 Diff: 117.19501519034065
62 	 Storage CON 	 Diff: 117.19501519025061
63 	 Storage OUT 	 Diff: 117.195015190289
----------------------------------------------------
i 	 Storage Baden-Württemberg 	 (urbs - oemof)
2 	 Storage IN 	 Diff: 92.0817545189632
2 	 Storage CON 	 Diff: 73.66540361517036
3 	 Storage CON 	 Diff: 73.66540361518037
4 	 Storage CON 	 Diff: 73.66540361518037
5 	 Storage CON 	 Diff: 73.66540361517036
6 	 Storage CON 	 Diff: 73.66540361517946
7 	 Storage CON 	 Diff: 73.66540361517036
8 	 Storage IN 	 Diff: 92.46309641279606
8 	 Storage CON 	 Diff: 147.63588074541894
9 	 Storage IN 	 Diff: -11.338696405969927
9 	 Storage CON 	 Diff: 138.5649236206409
10 	 Storage CON 	 Diff: 138.5649236206409
11 	 Storage IN 	 Diff: -87.41640552757994
11 	 Storage CON 	 Diff: 68.63179919857066
12 	 Storage CON 	 Diff: 68.63179919857066
13 	 Storage CON 	 Diff: 68.63179919857066
14 	 Storage IN 	 Diff: -8.45853483892565
14 	 Storage CON 	 Diff: 61.864971327429885
15 	 Storage CON 	 Diff: 61.864971327429885
16 	 Storage CON 	 Diff: 61.864971327429885
17 	 Storage CON 	 Diff: 61.86497132743898
18 	 Storage OUT 	 Diff: -1.2373101918080351
18 	 Storage CON 	 Diff: 63.10228151925003
19 	 Storage CON 	 Diff: 63.10228151925003
20 	 Storage CON 	 Diff: 63.10228151925003
21 	 Storage CON 	 Diff: 63.10228151925003
22 	 Storage CON 	 Diff: 63.10228151925003
23 	 Storage CON 	 Diff: 63.10228151925003
24 	 Storage CON 	 Diff: 63.10228151925003
25 	 Storage CON 	 Diff: 63.10228151926003
26 	 Storage CON 	 Diff: 63.10228151925912
27 	 Storage CON 	 Diff: 63.10228151926094
28 	 Storage CON 	 Diff: 63.10228151924821
29 	 Storage CON 	 Diff: 63.10228151925912
30 	 Storage CON 	 Diff: 63.102281519199096
31 	 Storage IN 	 Diff: -78.87785189907248
35 	 Storage OUT 	 Diff: 271.0861694544159
35 	 Storage CON 	 Diff: -271.0861694544401
36 	 Storage CON 	 Diff: -271.0861694544292
37 	 Storage OUT 	 Diff: -271.0861694544179
54 	 Storage IN 	 Diff: 8.227734624450022
54 	 Storage CON 	 Diff: 6.582187699759743
55 	 Storage IN 	 Diff: 43.62824139026998
55 	 Storage CON 	 Diff: 41.48478081197027
56 	 Storage IN 	 Diff: -51.855976014652015
60 	 Storage OUT 	 Diff: 13.15494462608001
60 	 Storage CON 	 Diff: -13.154944626030556
61 	 Storage OUT 	 Diff: -144.38763602727295
61 	 Storage CON 	 Diff: 131.23269140124012
62 	 Storage CON 	 Diff: 131.23269140124012
63 	 Storage CON 	 Diff: 131.23269140124012
64 	 Storage OUT 	 Diff: 131.23269140125205
73 	 Storage IN 	 Diff: 71.06160109931704
73 	 Storage CON 	 Diff: 56.84928087945502
74 	 Storage IN 	 Diff: 280.12000000000194
74 	 Storage CON 	 Diff: 280.945280879458
75 	 Storage CON 	 Diff: 280.94528087946014
76 	 Storage CON 	 Diff: 280.9452808794599
77 	 Storage CON 	 Diff: 280.9452808794599
78 	 Storage IN 	 Diff: 109.74184494530493
78 	 Storage CON 	 Diff: 368.73875683570986
79 	 Storage IN 	 Diff: -280.11999999999705
79 	 Storage CON 	 Diff: 144.6427568357094
80 	 Storage CON 	 Diff: 144.64275683571032
81 	 Storage IN 	 Diff: 280.12000000000097
81 	 Storage CON 	 Diff: 368.73875683570986
82 	 Storage IN 	 Diff: -280.11999999999796
82 	 Storage CON 	 Diff: 144.6427568357094
83 	 Storage CON 	 Diff: 144.6427568357094
84 	 Storage CON 	 Diff: 144.6427568357094
85 	 Storage CON 	 Diff: 144.6427568357094
86 	 Storage CON 	 Diff: 144.6427568357194
87 	 Storage IN 	 Diff: -280.1199999999981
87 	 Storage CON 	 Diff: -79.45324316428014
88 	 Storage CON 	 Diff: -79.45324316428014
89 	 Storage CON 	 Diff: -79.45324316427013
90 	 Storage CON 	 Diff: -79.45324316426013
91 	 Storage CON 	 Diff: -79.45324316425013
92 	 Storage CON 	 Diff: -79.45324316425013
93 	 Storage CON 	 Diff: -79.45324316425013
94 	 Storage CON 	 Diff: -79.45324316425013
95 	 Storage CON 	 Diff: -79.45324316425013
96 	 Storage IN 	 Diff: 99.3165539553003
----------------------------------------------------
i 	 Storage Hamburg 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Lower Saxony 	 (urbs - oemof)
3 	 Storage IN 	 Diff: -65.1908671842768
3 	 Storage CON 	 Diff: -52.15269374742104
4 	 Storage IN 	 Diff: -20.121298623357006
4 	 Storage CON 	 Diff: -68.24973264610799
5 	 Storage IN 	 Diff: 86.8588035473655
5 	 Storage CON 	 Diff: 1.2373101917850136
6 	 Storage CON 	 Diff: 1.2373101917850136
7 	 Storage CON 	 Diff: 1.2373101917850136
8 	 Storage CON 	 Diff: 1.2373101917850136
9 	 Storage CON 	 Diff: 1.2373101917850136
10 	 Storage CON 	 Diff: 1.2373101917850136
11 	 Storage OUT 	 Diff: 1.2373101917855296
23 	 Storage IN 	 Diff: 75.0
23 	 Storage CON 	 Diff: 60.0
24 	 Storage CON 	 Diff: 60.0
25 	 Storage CON 	 Diff: 60.0
26 	 Storage CON 	 Diff: 60.0
27 	 Storage CON 	 Diff: 60.0
28 	 Storage CON 	 Diff: 60.0
29 	 Storage CON 	 Diff: 60.0
30 	 Storage CON 	 Diff: 60.0
31 	 Storage IN 	 Diff: -74.9999999999999
40 	 Storage OUT 	 Diff: 51.72134423155254
40 	 Storage CON 	 Diff: -51.72134423155302
41 	 Storage CON 	 Diff: -51.72134423155302
42 	 Storage CON 	 Diff: -51.7213442315525
43 	 Storage OUT 	 Diff: -51.7213442315525
----------------------------------------------------
i 	 Storage North Rhine-Westphalia 	 (urbs - oemof)
6 	 Storage IN 	 Diff: -132.014451596801
6 	 Storage CON 	 Diff: -105.61156127744096
7 	 Storage IN 	 Diff: -267.005167105684
7 	 Storage CON 	 Diff: -319.215694961988
8 	 Storage CON 	 Diff: -319.215694961988
9 	 Storage CON 	 Diff: -319.215694961988
10 	 Storage CON 	 Diff: -319.215694961988
11 	 Storage CON 	 Diff: -319.215694961988
12 	 Storage CON 	 Diff: -319.215694961988
13 	 Storage CON 	 Diff: -319.215694961988
14 	 Storage CON 	 Diff: -319.215694961988
15 	 Storage CON 	 Diff: -319.215694961988
16 	 Storage CON 	 Diff: -319.215694961988
17 	 Storage CON 	 Diff: -319.215694961988
18 	 Storage CON 	 Diff: -319.215694961988
19 	 Storage CON 	 Diff: -319.215694961988
20 	 Storage CON 	 Diff: -319.215694961988
21 	 Storage CON 	 Diff: -319.215694961988
22 	 Storage CON 	 Diff: -319.215694961988
23 	 Storage CON 	 Diff: -319.215694961988
24 	 Storage CON 	 Diff: -319.215694961988
25 	 Storage CON 	 Diff: -319.215694961988
26 	 Storage IN 	 Diff: 274.9199139137523
26 	 Storage CON 	 Diff: -99.2797638309861
27 	 Storage IN 	 Diff: 197.0997047887322
27 	 Storage CON 	 Diff: 58.399999999999864
28 	 Storage IN 	 Diff: -73.0
48 	 Storage IN 	 Diff: -104.16532479232501
48 	 Storage CON 	 Diff: -83.33225983386001
49 	 Storage CON 	 Diff: -83.33225983386001
50 	 Storage CON 	 Diff: -83.33225983386001
51 	 Storage CON 	 Diff: -83.33225983386001
52 	 Storage CON 	 Diff: -83.33225983386001
53 	 Storage IN 	 Diff: 104.165324792322
98 	 Storage IN 	 Diff: 291.0
98 	 Storage CON 	 Diff: 232.799999999994
99 	 Storage CON 	 Diff: 232.8
----------------------------------------------------
i 	 Storage Berlin 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Brandenburg 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Saxony 	 (urbs - oemof)
1 	 Storage IN 	 Diff: -46.36200986601693
1 	 Storage CON 	 Diff: -37.08960789281991
2 	 Storage IN 	 Diff: -63.77684170251996
2 	 Storage CON 	 Diff: -88.11108125481996
3 	 Storage IN 	 Diff: -66.48829488436002
3 	 Storage CON 	 Diff: -141.30171716231962
4 	 Storage IN 	 Diff: 176.627146452898
23 	 Storage IN 	 Diff: 278.965216103207
23 	 Storage CON 	 Diff: 223.172172882565
24 	 Storage IN 	 Diff: -278.96521610320804
37 	 Storage OUT 	 Diff: 240.45260843471
37 	 Storage CON 	 Diff: -240.45260843471033
38 	 Storage OUT 	 Diff: -82.69549260924398
38 	 Storage CON 	 Diff: -157.75711582546
39 	 Storage OUT 	 Diff: -345.896459762239
39 	 Storage CON 	 Diff: 188.13934393677982
40 	 Storage OUT 	 Diff: -63.63451748294699
40 	 Storage CON 	 Diff: 251.7738614197201
41 	 Storage CON 	 Diff: 251.7738614197201
42 	 Storage CON 	 Diff: 251.77386141972
43 	 Storage OUT 	 Diff: 251.77386141972
48 	 Storage IN 	 Diff: -261.25200000001
48 	 Storage CON 	 Diff: -209.00160000000704
49 	 Storage CON 	 Diff: -209.00160000001006
50 	 Storage IN 	 Diff: 135.64603720789898
50 	 Storage CON 	 Diff: -100.48477023369014
51 	 Storage CON 	 Diff: -100.48477023369014
52 	 Storage IN 	 Diff: 261.2519999999961
52 	 Storage CON 	 Diff: 108.51682976630991
53 	 Storage CON 	 Diff: 108.51682976630036
54 	 Storage IN 	 Diff: -135.646037207875
61 	 Storage OUT 	 Diff: -65.99999999999
61 	 Storage CON 	 Diff: 65.99999999994998
62 	 Storage OUT 	 Diff: 36.36411588438099
62 	 Storage CON 	 Diff: 29.635884115569752
63 	 Storage OUT 	 Diff: -65.99999999998899
63 	 Storage CON 	 Diff: 95.63588411554974
64 	 Storage OUT 	 Diff: 4.688268039820002
64 	 Storage CON 	 Diff: 90.94761607572991
65 	 Storage CON 	 Diff: 90.9476160757199
66 	 Storage OUT 	 Diff: 61.36411976175998
66 	 Storage CON 	 Diff: 29.58349631395197
67 	 Storage CON 	 Diff: 29.5834963139422
68 	 Storage OUT 	 Diff: 29.5834963139422
89 	 Storage OUT 	 Diff: -115.65043598249406
89 	 Storage CON 	 Diff: 115.65043598239981
90 	 Storage CON 	 Diff: 115.65043598237003
91 	 Storage OUT 	 Diff: -96.4469814577019
91 	 Storage CON 	 Diff: 212.09741744007988
92 	 Storage OUT 	 Diff: 212.097417440055
----------------------------------------------------
i 	 Storage Saarland 	 (urbs - oemof)
----------------------------------------------------
i 	 Storage Bavaria 	 (urbs - oemof)
2 	 Storage IN 	 Diff: -531.540645575466
2 	 Storage CON 	 Diff: -425.2325164603699
3 	 Storage IN 	 Diff: -474.840659440599
3 	 Storage CON 	 Diff: -805.1050440128502
4 	 Storage CON 	 Diff: -805.1050440128497
5 	 Storage CON 	 Diff: -805.1050440128497
6 	 Storage CON 	 Diff: -805.1050440128497
7 	 Storage CON 	 Diff: -805.1050440128497
8 	 Storage CON 	 Diff: -805.1050440128497
9 	 Storage CON 	 Diff: -805.1050440128497
10 	 Storage CON 	 Diff: -805.1050440128301
11 	 Storage CON 	 Diff: -805.1050440128301
12 	 Storage CON 	 Diff: -805.1050440128201
13 	 Storage CON 	 Diff: -805.1050440128201
14 	 Storage CON 	 Diff: -805.1050440128201
15 	 Storage CON 	 Diff: -805.1050440128201
16 	 Storage CON 	 Diff: -805.1050440128097
17 	 Storage CON 	 Diff: -805.1050440128101
18 	 Storage CON 	 Diff: -805.1050440128099
19 	 Storage CON 	 Diff: -805.1050440128099
20 	 Storage CON 	 Diff: -805.1050440128099
21 	 Storage IN 	 Diff: -312.300931408239
21 	 Storage CON 	 Diff: -1054.9457891394102
22 	 Storage CON 	 Diff: -1054.9457891394102
23 	 Storage CON 	 Diff: -1054.9457891394102
24 	 Storage IN 	 Diff: 390.511142219314
24 	 Storage CON 	 Diff: -742.5368753639602
25 	 Storage IN 	 Diff: -349.25989333607896
25 	 Storage CON 	 Diff: -1021.9447900328098
26 	 Storage IN 	 Diff: 549.8
26 	 Storage CON 	 Diff: -582.1047900328099
27 	 Storage CON 	 Diff: -582.1047900328199
28 	 Storage IN 	 Diff: 177.83098754101894
28 	 Storage CON 	 Diff: -439.84000000000015
29 	 Storage IN 	 Diff: 549.8
35 	 Storage OUT 	 Diff: -243.97755250897495
35 	 Storage CON 	 Diff: 243.97755250898035
36 	 Storage CON 	 Diff: 243.97755250898012
37 	 Storage OUT 	 Diff: 243.97755250896898
47 	 Storage IN 	 Diff: 318.68135201702194
47 	 Storage CON 	 Diff: 254.9450816136172
48 	 Storage IN 	 Diff: -40.02608017168302
48 	 Storage CON 	 Diff: 222.92421747626997
49 	 Storage CON 	 Diff: 222.92421747626906
50 	 Storage CON 	 Diff: 222.9242174762701
51 	 Storage IN 	 Diff: 549.8
51 	 Storage CON 	 Diff: 662.7642174765399
52 	 Storage IN 	 Diff: -549.8
52 	 Storage CON 	 Diff: 222.92421747653998
53 	 Storage IN 	 Diff: -549.8
53 	 Storage CON 	 Diff: -216.91578252346017
54 	 Storage CON 	 Diff: -216.9157825234597
55 	 Storage IN 	 Diff: 271.14472815418094
59 	 Storage OUT 	 Diff: 179.86966376791696
59 	 Storage CON 	 Diff: -179.86966376803002
60 	 Storage OUT 	 Diff: 72.29904505778495
60 	 Storage CON 	 Diff: -252.16870882580997
61 	 Storage OUT 	 Diff: -252.16870882581404
70 	 Storage IN 	 Diff: 329.28877240052
70 	 Storage CON 	 Diff: 263.431017920416
71 	 Storage CON 	 Diff: 263.431017920416
72 	 Storage CON 	 Diff: 263.431017920416
73 	 Storage CON 	 Diff: 263.431017920416
74 	 Storage CON 	 Diff: 263.431017920416
75 	 Storage CON 	 Diff: 263.431017920416
76 	 Storage CON 	 Diff: 263.431017920416
77 	 Storage CON 	 Diff: 263.431017920416
78 	 Storage CON 	 Diff: 263.431017920416
79 	 Storage CON 	 Diff: 263.431017920416
80 	 Storage CON 	 Diff: 263.431017920416
81 	 Storage CON 	 Diff: 263.431017920416
