----------------------------------------------------
CREATING urbs MODEL
CREATING oemof MODEL
----------------------------------------------------
OBJECTIVE
urbs	 29259572784.55652
oemof	 29259572784.55721
Diff	 -0.000690460205078125
----------------------------------------------------
Memory Used
urbs	 144.0  Mb
oemof	 79.5  Mb
Diff	 64.5  Mb
----------------------------------------------------
Constraint Amount
urbs	 143352
oemof	 82967
Diff	 60385
----------------------------------------------------
----------------------------------------------------
i 	 Storage Hesse 	 (urbs - oemof)
2 	 Storage IN 	 Diff: -32.7621332951719
2 	 Storage CON 	 Diff: -26.209706636140027
3 	 Storage IN 	 Diff: -34.8054702078303
3 	 Storage CON 	 Diff: -54.05408280239999
4 	 Storage IN 	 Diff: 90.3620795381702
4 	 Storage CON 	 Diff: 18.235580828139973
5 	 Storage CON 	 Diff: 18.235580828139973
6 	 Storage CON 	 Diff: 18.235580828139973
7 	 Storage CON 	 Diff: 18.235580828139973
8 	 Storage CON 	 Diff: 18.235580828139973
9 	 Storage CON 	 Diff: 18.235580828139973
10 	 Storage CON 	 Diff: 18.235580828139973
11 	 Storage CON 	 Diff: 18.235580828139973
12 	 Storage CON 	 Diff: 18.235580828139973
13 	 Storage CON 	 Diff: 18.235580828139973
14 	 Storage CON 	 Diff: 18.235580828139973
15 	 Storage CON 	 Diff: 18.235580828139973
16 	 Storage CON 	 Diff: 18.235580828139973
17 	 Storage CON 	 Diff: 18.23558082812997
18 	 Storage CON 	 Diff: 18.23558082812997
19 	 Storage CON 	 Diff: 18.23558082812997
20 	 Storage CON 	 Diff: 18.23558082812997
21 	 Storage CON 	 Diff: 18.23558082812997
22 	 Storage CON 	 Diff: 18.23558082812997
23 	 Storage CON 	 Diff: 18.23558082812997
24 	 Storage CON 	 Diff: 18.23558082812997
25 	 Storage IN 	 Diff: -211.62064309680804
25 	 Storage CON 	 Diff: -151.06093364930985
26 	 Storage IN 	 Diff: 575.32901683667
26 	 Storage CON 	 Diff: 309.20227982003007
27 	 Storage CON 	 Diff: 309.2022798200196
28 	 Storage CON 	 Diff: 309.20227982003007
29 	 Storage IN 	 Diff: -366.056446156662
29 	 Storage CON 	 Diff: 16.35712289469984
30 	 Storage CON 	 Diff: 16.35712289469984
31 	 Storage IN 	 Diff: -20.446403618370994
34 	 Storage OUT 	 Diff: -168.25606788174397
34 	 Storage CON 	 Diff: 168.2560678817399
35 	 Storage OUT 	 Diff: 31.037746368011994
35 	 Storage CON 	 Diff: 137.21832151372973
36 	 Storage OUT 	 Diff: -168.25606788175702
36 	 Storage CON 	 Diff: 305.4743893954901
37 	 Storage OUT 	 Diff: 170.75880018384998
37 	 Storage CON 	 Diff: 134.71558921163
38 	 Storage OUT 	 Diff: -66.31936719378899
38 	 Storage CON 	 Diff: 201.03495640542997
39 	 Storage OUT 	 Diff: 22.4193369642168
39 	 Storage CON 	 Diff: 178.61561944121013
40 	 Storage OUT 	 Diff: 10.4088312991743
40 	 Storage CON 	 Diff: 168.20678814204007
41 	 Storage CON 	 Diff: 168.20678814203802
42 	 Storage CON 	 Diff: 168.256067881756
43 	 Storage OUT 	 Diff: 168.25606788175497
48 	 Storage IN 	 Diff: 93.74879231310393
48 	 Storage CON 	 Diff: 74.99903385048407
49 	 Storage CON 	 Diff: 74.99903385043297
50 	 Storage CON 	 Diff: 74.9990338504299
51 	 Storage CON 	 Diff: 74.99903385043012
52 	 Storage CON 	 Diff: 74.9990338504299
53 	 Storage IN 	 Diff: -93.74879231309399
60 	 Storage OUT 	 Diff: -14.616605140084971
