Changed Process Cap Test
- Both models are created.
- Similar obj values
- Diff =  -16549197.310153961

     ----------------------------------------------------
    CREATING urbs MODEL
    CREATING oemof MODEL
    ----------------------------------------------------
    urbs	 17762939267.767143
    oemof	 17779488465.077297
    Diff	 -16549197.310153961
    ----------------------------------------------------
    i 	 Storage Mid 	 (urbs - oemof)
    2 	 Storage IN 	 Diff: -19662.5191180689
    2 	 Storage CON 	 Diff: -19662.5191180689
    3 	 Storage IN 	 Diff: -20941.3603483108
    3 	 Storage CON 	 Diff: -40603.8794663797
    4 	 Storage IN 	 Diff: -14274.2686113488
    4 	 Storage CON 	 Diff: -54878.1480777285
    5 	 Storage IN 	 Diff: -21959.8144288331
    5 	 Storage CON 	 Diff: -76837.9625065616
    6 	 Storage CON 	 Diff: -76837.9625065616
    7 	 Storage IN 	 Diff: 23973.8501886556
    7 	 Storage CON 	 Diff: -52864.112317905994
    8 	 Storage CON 	 Diff: -52864.112317905994
    9 	 Storage CON 	 Diff: -52864.112317905994
    10 	 Storage IN 	 Diff: 19274.3077953926
    10 	 Storage CON 	 Diff: -33589.8045225134
    11 	 Storage CON 	 Diff: -33589.8045225134
    12 	 Storage CON 	 Diff: -33589.8045225134
    13 	 Storage IN 	 Diff: 13574.2224038044
    13 	 Storage CON 	 Diff: -20015.582118708997
    14 	 Storage CON 	 Diff: -20015.582118708997
    15 	 Storage CON 	 Diff: -20015.582118708997
    16 	 Storage CON 	 Diff: -20015.582118708997
    17 	 Storage CON 	 Diff: -20015.582118708997
    18 	 Storage IN 	 Diff: 7588.85934594761
    18 	 Storage CON 	 Diff: -12426.7227727614
    19 	 Storage IN 	 Diff: 7894.50879758634
    19 	 Storage CON 	 Diff: -4532.213975174993
    20 	 Storage CON 	 Diff: -4532.213975174993
    21 	 Storage CON 	 Diff: -4532.213975174993
    22 	 Storage CON 	 Diff: -4532.213975174993
    23 	 Storage CON 	 Diff: -4532.213975174993
    24 	 Storage CON 	 Diff: -4532.213975174993
    25 	 Storage CON 	 Diff: -4532.213975174993
    26 	 Storage CON 	 Diff: -4532.213975174993
    27 	 Storage CON 	 Diff: -4532.213975174993
    28 	 Storage CON 	 Diff: -4532.213975174993
    29 	 Storage CON 	 Diff: -4532.213975174993
    30 	 Storage CON 	 Diff: -4532.213975174993
    31 	 Storage IN 	 Diff: 4532.213975174817
    ----------------------------------------------------
    i 	 Storage North 	 (urbs - oemof)
