timestep,demand+AF8-mid,demand+AF8-south,demand+AF8-north,wind+AF8-mid,pv+AF8-mid,hydro+AF8-mid,wind+AF8-south,pv+AF8-south,hydro+AF8-south,wind+AF8-north,pv+AF8-north,hydro+AF8-north
61,64551.8879259371,64551.8879259371,64551.8879259371,0.5942670876,0.0939895962,0.4170429073,0.5942670876,0.0939895962,0.4170429073,0.5942670876,0.0939895962,0.4170429073
62,63756.327030446,63756.327030446,63756.327030446,0.5973548435,0.0684974374,0.4170571361,0.5973548435,0.0684974374,0.4170571361,0.5973548435,0.0684974374,0.4170571361
63,63148.126490777,63148.126490777,63148.126490777,0.6226216777,0.0322530684,0.4170713685,0.6226216777,0.0322530684,0.4170713685,0.6226216777,0.0322530684,0.4170713685
64,64915.0787695309,64915.0787695309,64915.0787695309,0.6430027565,0.0066631947,0.4170856046,0.6430027565,0.0066631947,0.4170856046,0.6430027565,0.0066631947,0.4170856046
65,67994.5143613776,67994.5143613776,67994.5143613776,0.6546972104,0,0.4170998445,0.6546972104,0,0.4170998445,0.6546972104,0,0.4170998445
66,67590.0081572692,67590.0081572692,67590.0081572692,0.6659428422,0,0.4171140882,0.6659428422,0,0.4171140882,0.6659428422,0,0.4171140882
67,65815.3692998149,65815.3692998149,65815.3692998149,0.7553735499,0,0.4171283359,0.7553735499,0,0.4171283359,0.7553735499,0,0.4171283359
68,62664.8328549896,62664.8328549896,62664.8328549896,0.7382920867,0,0.4171425874,0.7382920867,0,0.4171425874,0.7382920867,0,0.4171425874
69,60686.4996619748,60686.4996619748,60686.4996619748,0.7318474392,0,0.417156843,0.7318474392,0,0.417156843,0.7318474392,0,0.417156843
70,59676.6753852101,59676.6753852101,59676.6753852101,0.7605424888,0,0.4171711027,0.7605424888,0,0.4171711027,0.7605424888,0,0.4171711027
71,55204.0474039164,55204.0474039164,55204.0474039164,0.8027809217,0,0.4171853665,0.8027809217,0,0.4171853665,0.8027809217,0,0.4171853665
72,50770.8131384622,50770.8131384622,50770.8131384622,0.8419978502,0,0.4171996344,0.8419978502,0,0.4171996344,0.8419978502,0,0.4171996344
73,48624.3360363762,48624.3360363762,48624.3360363762,0.8399733125,0,0.4172139067,0.8399733125,0,0.4172139067,0.8399733125,0,0.4172139067
74,47705.7898816787,47705.7898816787,47705.7898816787,0.8534846287,0,0.4172281832,0.8534846287,0,0.4172281832,0.8534846287,0,0.4172281832
75,47996.9190499563,47996.9190499563,47996.9190499563,0.8629356835,0,0.4172424641,0.8629356835,0,0.4172424641,0.8629356835,0,0.4172424641
76,48779.0284327217,48779.0284327217,48779.0284327217,0.8696435213,0,0.4172567495,0.8696435213,0,0.4172567495,0.8696435213,0,0.4172567495
77,50507.5478179736,50507.5478179736,50507.5478179736,0.8851001502,0,0.4172710393,0.8851001502,0,0.4172710393,0.8851001502,0,0.4172710393
78,54645.8096258,54645.8096258,54645.8096258,0.896971444,0,0.4172853337,0.896971444,0,0.4172853337,0.896971444,0,0.4172853337
79,60432.8425648617,60432.8425648617,60432.8425648617,0.9032410344,0,0.4172996327,0.9032410344,0,0.4172996327,0.9032410344,0,0.4172996327
80,64002.2975488587,64002.2975488587,64002.2975488587,0.9044822397,0,0.4173139363,0.9044822397,0,0.4173139363,0.9044822397,0,0.4173139363
81,65276.3479684496,65276.3479684496,65276.3479684496,0.906045739,0.0101521793,0.4173282447,0.906045739,0.0101521793,0.4173282447,0.906045739,0.0101521793,0.4173282447
82,66537.9076976523,66537.9076976523,66537.9076976523,0.9060779345,0.0248954358,0.4173425579,0.9060779345,0.0248954358,0.4173425579,0.9060779345,0.0248954358,0.4173425579
83,68198.2086969381,68198.2086969381,68198.2086969381,0.8991429629,0.0366067288,0.4173568759,0.8991429629,0.0366067288,0.4173568759,0.8991429629,0.0366067288,0.4173568759
84,67847.5085437325,67847.5085437325,67847.5085437325,0.8916001108,0.0433841787,0.4173711988,0.8916001108,0.0433841787,0.4173711988,0.8916001108,0.0433841787,0.4173711988
85,66902.0593635836,66902.0593635836,66902.0593635836,0.8854526093,0.0361359665,0.4173855266,0.8854526093,0.0361359665,0.4173855266,0.8854526093,0.0361359665,0.4173855266
86,65685.6582842457,65685.6582842457,65685.6582842457,0.8854571869,0.0242590161,0.4173998595,0.8854571869,0.0242590161,0.4173998595,0.8854571869,0.0242590161,0.4173998595
87,65447.3743445334,65447.3743445334,65447.3743445334,0.8903488277,0.010841019,0.4174141974,0.8903488277,0.010841019,0.4174141974,0.8903488277,0.010841019,0.4174141974
88,66626.3033527069,66626.3033527069,66626.3033527069,0.8853931012,0.0001300322,0.4174285405,0.8853931012,0.0001300322,0.4174285405,0.8853931012,0.0001300322,0.4174285405
89,69349.2738573226,69349.2738573226,69349.2738573226,0.8891391408,0,0.4174428888,0.8891391408,0,0.4174428888,0.8891391408,0,0.4174428888
90,69207.0721513653,69207.0721513653,69207.0721513653,0.9059261576,0,0.4174572423,0.9059261576,0,0.4174572423,0.9059261576,0,0.4174572423
91,67245.0729380888,67245.0729380888,67245.0729380888,0.9135352423,0,0.4174716011,0.9135352423,0,0.4174716011,0.9135352423,0,0.4174716011
92,63883.1555790025,63883.1555790025,63883.1555790025,0.9212681908,0,0.4174859653,0.9212681908,0,0.4174859653,0.9212681908,0,0.4174859653
93,61902.9007413127,61902.9007413127,61902.9007413127,0.9183108368,0,0.4175003349,0.9183108368,0,0.4175003349,0.9183108368,0,0.4175003349
94,60356.9376001952,60356.9376001952,60356.9376001952,0.9154937208,0,0.41751471,0.9154937208,0,0.41751471,0.9154937208,0,0.41751471
95,55965.9795175933,55965.9795175933,55965.9795175933,0.9179787762,0,0.4175290906,0.9179787762,0,0.4175290906,0.9179787762,0,0.4175290906
96,52349.4442390563,52349.4442390563,52349.4442390563,0.911817103,0,0.4175434768,0.911817103,0,0.4175434768,0.911817103,0,0.4175434768
97,49994.468689722,49994.468689722,49994.468689722,0.8812387326,0,0.4175578686,0.8812387326,0,0.4175578686,0.8812387326,0,0.4175578686
98,48849.1684633628,48849.1684633628,48849.1684633628,0.8649532868,0,0.4175722662,0.8649532868,0,0.4175722662,0.8649532868,0,0.4175722662
99,48658.925640528,48658.925640528,48658.925640528,0.8507597417,0,0.4175866695,0.8507597417,0,0.4175866695,0.8507597417,0,0.4175866695
100,49517.9008102974,49517.9008102974,49517.9008102974,0.8300419059,0,0.4176010787,0.8300419059,0,0.4176010787,0.8300419059,0,0.4176010787
101,51396.308480207,51396.308480207,51396.308480207,0.8218475187,0,0.4176154937,0.8218475187,0,0.4176154937,0.8218475187,0,0.4176154937
102,54729.4011691668,54729.4011691668,54729.4011691668,0.8093134069,0,0.4176299146,0.8093134069,0,0.4176299146,0.8093134069,0,0.4176299146
103,60357.8984225328,60357.8984225328,60357.8984225328,0.7950369833,0,0.4176443415,0.7950369833,0,0.4176443415,0.7950369833,0,0.4176443415
104,63548.7894055352,63548.7894055352,63548.7894055352,0.7716539997,0,0.4176587745,0.7716539997,0,0.4176587745,0.7716539997,0,0.4176587745
105,64713.3060786454,64713.3060786454,64713.3060786454,0.7416092437,0.004525425,0.4176732136,0.7416092437,0.004525425,0.4176732136,0.7416092437,0.004525425,0.4176732136
106,66135.323138219,66135.323138219,66135.323138219,0.7112491678,0.0240625682,0.4176876588,0.7112491678,0.0240625682,0.4176876588,0.7112491678,0.0240625682,0.4176876588
107,67407.4519131347,67407.4519131347,67407.4519131347,0.6798752414,0.0409140763,0.4177021102,0.6798752414,0.0409140763,0.4177021102,0.6798752414,0.0409140763,0.4177021102
108,67091.3413640809,67091.3413640809,67091.3413640809,0.663185951,0.0515601743,0.4177165679,0.663185951,0.0515601743,0.4177165679,0.663185951,0.0515601743,0.4177165679
109,65432.0011871326,65432.0011871326,65432.0011871326,0.717976093,0.0580442248,0.417731032,0.717976093,0.0580442248,0.417731032,0.717976093,0.0580442248,0.417731032
110,63795.7207462855,63795.7207462855,63795.7207462855,0.6974119909,0.0405120199,0.4177455024,0.6974119909,0.0405120199,0.4177455024,0.6974119909,0.0405120199,0.4177455024
111,63225.9531001186,63225.9531001186,63225.9531001186,0.6673718303,0.0174087888,0.4177599792,0.6673718303,0.0174087888,0.4177599792,0.6673718303,0.0174087888,0.4177599792
112,64984.2579778345,64984.2579778345,64984.2579778345,0.640651114,0.0003758464,0.4177744625,0.640651114,0.0003758464,0.4177744625,0.640651114,0.0003758464,0.4177744625
113,67436.2765832612,67436.2765832612,67436.2765832612,0.6227834379,0,0.4177889524,0.6227834379,0,0.4177889524,0.6227834379,0,0.4177889524
114,66710.8557184112,66710.8557184112,66710.8557184112,0.6309806497,0,0.4178034488,0.6309806497,0,0.4178034488,0.6309806497,0,0.4178034488
115,64135.8518537781,64135.8518537781,64135.8518537781,0.7174763805,0,0.4178179519,0.7174763805,0,0.4178179519,0.7174763805,0,0.4178179519
116,60308.8964833178,60308.8964833178,60308.8964833178,0.7145146492,0,0.4178324617,0.7145146492,0,0.4178324617,0.7145146492,0,0.4178324617
117,58096.1226399409,58096.1226399409,58096.1226399409,0.7028676751,0,0.4178469783,0.7028676751,0,0.4178469783,0.7028676751,0,0.4178469783
118,57226.5784244584,57226.5784244584,57226.5784244584,0.6906384578,0,0.4178615017,0.6906384578,0,0.4178615017,0.6906384578,0,0.4178615017
119,53131.5536218217,53131.5536218217,53131.5536218217,0.6756559419,0,0.4178760319,0.6756559419,0,0.4178760319,0.6756559419,0,0.4178760319
120,49137.4151646277,49137.4151646277,49137.4151646277,0.6570852114,0,0.4178905691,0.6570852114,0,0.4178905691,0.6570852114,0,0.4178905691
121,46492.2712693535,46492.2712693535,46492.2712693535,0.6972725522,0,0.4179051132,0.6972725522,0,0.4179051132,0.6972725522,0,0.4179051132
122,45136.5509510709,45136.5509510709,45136.5509510709,0.6402143927,0,0.4179196644,0.6402143927,0,0.4179196644,0.6402143927,0,0.4179196644
123,44896.3453666835,44896.3453666835,44896.3453666835,0.5966965203,0,0.4179342227,0.5966965203,0,0.4179342227,0.5966965203,0,0.4179342227
124,44957.8379962867,44957.8379962867,44957.8379962867,0.5537910076,0,0.417948788,0.5537910076,0,0.417948788,0.5537910076,0,0.417948788
125,43942.2487854967,43942.2487854967,43942.2487854967,0.4915201104,0,0.4179633606,0.4915201104,0,0.4179633606,0.4915201104,0,0.4179633606
126,42786.3795134244,42786.3795134244,42786.3795134244,0.4228174976,0,0.4179779404,0.4228174976,0,0.4179779404,0.4228174976,0,0.4179779404
127,44975.1327983626,44975.1327983626,44975.1327983626,0.4504383636,0,0.4179925275,0.4504383636,0,0.4179925275,0.4504383636,0,0.4179925275
128,47780.7340240076,47780.7340240076,47780.7340240076,0.4141780209,0,0.418007122,0.4141780209,0,0.418007122,0.4141780209,0,0.418007122
129,50724.6936662598,50724.6936662598,50724.6936662598,0.3941420914,0.0116354621,0.4180217238,0.3941420914,0.0116354621,0.4180217238,0.3941420914,0.0116354621,0.4180217238
130,53330.4438456945,53330.4438456945,53330.4438456945,0.3858901856,0.0331752535,0.4180363331,0.3858901856,0.0331752535,0.4180363331,0.3858901856,0.0331752535,0.4180363331
131,55061.845697959,55061.845697959,55061.845697959,0.3705623123,0.0501718073,0.4180509499,0.3705623123,0.0501718073,0.4180509499,0.3705623123,0.0501718073,0.4180509499
132,54625.6323567115,54625.6323567115,54625.6323567115,0.340483186,0.0579681394,0.4180655743,0.340483186,0.0579681394,0.4180655743,0.340483186,0.0579681394,0.4180655743
133,53050.8445454675,53050.8445454675,53050.8445454675,0.3151797163,0.0642506528,0.4180802063,0.3151797163,0.0642506528,0.4180802063,0.3151797163,0.0642506528,0.4180802063
134,51270.440753988,51270.440753988,51270.440753988,0.2697116956,0.0433877412,0.4180948459,0.2697116956,0.0433877412,0.4180948459,0.2697116956,0.0433877412,0.4180948459
135,51105.1793119295,51105.1793119295,51105.1793119295,0.2573920489,0.0175830981,0.4181094932,0.2573920489,0.0175830981,0.4181094932,0.2573920489,0.0175830981,0.4181094932
136,53816.6199484946,53816.6199484946,53816.6199484946,0.2487172146,0.0005053697,0.4181241483,0.2487172146,0.0005053697,0.4181241483,0.2487172146,0.0005053697,0.4181241483
137,57589.7692680522,57589.7692680522,57589.7692680522,0.2420747989,0,0.4181388112,0.2420747989,0,0.4181388112,0.2420747989,0,0.4181388112
138,57636.8495625921,57636.8495625921,57636.8495625921,0.2456601178,0,0.4181534819,0.2456601178,0,0.4181534819,0.2456601178,0,0.4181534819
139,55969.8228069434,55969.8228069434,55969.8228069434,0.2894382019,0,0.4181681606,0.2894382019,0,0.4181681606,0.2894382019,0,0.4181681606
140,52467.6253865749,52467.6253865749,52467.6253865749,0.2994388443,0,0.4181828472,0.2994388443,0,0.4181828472,0.2994388443,0,0.4181828472
141,51081.1587534907,51081.1587534907,51081.1587534907,0.2983778481,0,0.4181975419,0.2983778481,0,0.4181975419,0.2983778481,0,0.4181975419
142,50960.0951389595,50960.0951389595,50960.0951389595,0.2911728725,0,0.4182122446,0.2911728725,0,0.4182122446,0.2911728725,0,0.4182122446
143,47358.9330178233,47358.9330178233,47358.9330178233,0.2790357624,0,0.4182269554,0.2790357624,0,0.4182269554,0.2790357624,0,0.4182269554
144,43687.630866046,43687.630866046,43687.630866046,0.2665920813,0,0.4182416744,0.2665920813,0,0.4182416744,0.2665920813,0,0.4182416744
145,41251.9462403576,41251.9462403576,41251.9462403576,0.2721603699,0,0.4182564016,0.2721603699,0,0.4182564016,0.2721603699,0,0.4182564016
146,39806.8694446829,39806.8694446829,39806.8694446829,0.2671174544,0,0.418271137,0.2671174544,0,0.418271137,0.2671174544,0,0.418271137
147,39333.1840322709,39333.1840322709,39333.1840322709,0.2672389996,0,0.4182858808,0.2672389996,0,0.4182858808,0.2672389996,0,0.4182858808
148,39959.6401963533,39959.6401963533,39959.6401963533,0.2624537921,0,0.4183006329,0.2624537921,0,0.4183006329,0.2624537921,0,0.4183006329
149,39248.6316665665,39248.6316665665,39248.6316665665,0.2450910744,0,0.4183153935,0.2450910744,0,0.4183153935,0.2450910744,0,0.4183153935
150,37621.9594490949,37621.9594490949,37621.9594490949,0.2233179549,0,0.4183301625,0.2233179549,0,0.4183301625,0.2233179549,0,0.4183301625
151,39093.939270221,39093.939270221,39093.939270221,0.278437127,0,0.41834494,0.278437127,0,0.41834494,0.278437127,0,0.41834494
152,41658.3740891411,41658.3740891411,41658.3740891411,0.3222050401,0,0.418359726,0.3222050401,0,0.418359726,0.3222050401,0,0.418359726
153,44834.8527370803,44834.8527370803,44834.8527370803,0.3543597121,0.0102015457,0.4183745207,0.3543597121,0.0102015457,0.4183745207,0.3543597121,0.0102015457,0.4183745207
154,47354.1289061355,47354.1289061355,47354.1289061355,0.3894223038,0.0387869943,0.418389324,0.3894223038,0.0387869943,0.418389324,0.3894223038,0.0387869943,0.418389324
155,50614.1990974416,50614.1990974416,50614.1990974416,0.4180441743,0.0608639636,0.418404136,0.4180441743,0.0608639636,0.418404136,0.4180441743,0.0608639636,0.418404136
156,50567.1188029016,50567.1188029016,50567.1188029016,0.4480705522,0.0729424512,0.4184189568,0.4480705522,0.0729424512,0.4184189568,0.4480705522,0.0729424512,0.4184189568
157,48568.6083407983,48568.6083407983,48568.6083407983,0.5645574342,0.0871009446,0.4184337863,0.5645574342,0.0871009446,0.4184337863,0.5645574342,0.0871009446,0.4184337863
158,47232.1044692667,47232.1044692667,47232.1044692667,0.6075398233,0.0590961876,0.4184486247,0.6075398233,0.0590961876,0.4184486247,0.6075398233,0.0590961876,0.4184486247
159,47218.652956541,47218.652956541,47218.652956541,0.6317149136,0.0315263132,0.418463472,0.6317149136,0.0315263132,0.418463472,0.6317149136,0.0315263132,0.418463472
160,49510.214231597,49510.214231597,49510.214231597,0.6630134542,0.0044819113,0.4184783282,0.6630134542,0.0044819113,0.4184783282,0.6630134542,0.0044819113,0.4184783282
161,55073.3755660096,55073.3755660096,55073.3755660096,0.6983882229,0,0.4184931934,0.6983882229,0,0.4184931934,0.6983882229,0,0.4184931934
162,56862.4267585271,56862.4267585271,56862.4267585271,0.7363922816,0,0.4185080676,0.7363922816,0,0.4185080676,0.7363922816,0,0.4185080676
163,55884.3096189015,55884.3096189015,55884.3096189015,0.7324812545,0,0.4185229509,0.7324812545,0,0.4185229509,0.7324812545,0,0.4185229509
164,53717.655247727,53717.655247727,53717.655247727,0.7366126248,0,0.4185378433,0.7366126248,0,0.4185378433,0.7366126248,0,0.4185378433
165,52928.8201085987,52928.8201085987,52928.8201085987,0.7329831053,0,0.4185527449,0.7329831053,0,0.4185527449,0.7329831053,0,0.4185527449
166,53571.6102524195,53571.6102524195,53571.6102524195,0.7363349946,0,0.4185676556,0.7363349946,0,0.4185676556,0.7363349946,0,0.4185676556
167,49761.949684035,49761.949684035,49761.949684035,0.7267194715,0,0.4185825757,0.7267194715,0,0.4185825757,0.7267194715,0,0.4185825757
168,46035.8806590174,46035.8806590174,46035.8806590174,0.7180374662,0,0.418597505,0.7180374662,0,0.418597505,0.7180374662,0,0.418597505
169,44174.7677911837,44174.7677911837,44174.7677911837,0.7102692509,0,0.4186124437,0.7102692509,0,0.4186124437,0.7102692509,0,0.4186124437
170,44035.448552239,44035.448552239,44035.448552239,0.6916083768,0,0.4186273918,0.6916083768,0,0.4186273918,0.6916083768,0,0.4186273918
171,44784.8899755277,44784.8899755277,44784.8899755277,0.6893775485,0,0.4186423493,0.6893775485,0,0.4186423493,0.6893775485,0,0.4186423493
172,45928.2685572118,45928.2685572118,45928.2685572118,0.6974468515,0,0.4186573163,0.6974468515,0,0.4186573163,0.6974468515,0,0.4186573163
173,49053.8236212609,49053.8236212609,49053.8236212609,0.7293528926,0,0.4186722928,0.7293528926,0,0.4186722928,0.7293528926,0,0.4186722928
174,56122.5935586138,56122.5935586138,56122.5935586138,0.7710311263,0,0.4186872788,0.7710311263,0,0.4186872788,0.7710311263,0,0.4186872788
175,64155.0683005291,64155.0683005291,64155.0683005291,0.8124960458,0,0.4187022745,0.8124960458,0,0.4187022745,0.8124960458,0,0.4187022745
176,66961.6303485117,66961.6303485117,66961.6303485117,0.8174594372,0,0.4187172799,0.8174594372,0,0.4187172799,0.8174594372,0,0.4187172799
