timestep,demand+AF8-mid,demand+AF8-south,demand+AF8-north,wind+AF8-mid,pv+AF8-mid,hydro+AF8-mid,wind+AF8-south,pv+AF8-south,hydro+AF8-south,wind+AF8-north,pv+AF8-north,hydro+AF8-north
1,43102.4900624782,43102.4900624782,43102.4900624782,0.935264783,0,0.4161935538,0.935264783,0,0.4161935538,0.935264783,0,0.4161935538
2,41692.0028709553,41692.0028709553,41692.0028709553,0.9424091919,0,0.4162076757,0.9424091919,0,0.4162076757,0.9424091919,0,0.4162076757
3,40592.8221167985,40592.8221167985,40592.8221167985,0.9562292285,0,0.4162217976,0.9562292285,0,0.4162217976,0.9562292285,0,0.4162217976
4,40218.1014051541,40218.1014051541,40218.1014051541,0.9563920092,0,0.4162359195,0.9563920092,0,0.4162359195,0.9563920092,0,0.4162359195
5,39606.057576135,39606.057576135,39606.057576135,0.9586668854,0,0.4162500415,0.9586668854,0,0.4162500415,0.9586668854,0,0.4162500415
6,37483.6010324878,37483.6010324878,37483.6010324878,0.9619066677,0,0.4162641635,0.9619066677,0,0.4162641635,0.9619066677,0,0.4162641635
7,37678.6479670104,37678.6479670104,37678.6479670104,0.9653304355,0,0.4162782858,0.9653304355,0,0.4162782858,0.9653304355,0,0.4162782858
8,38082.1933487812,38082.1933487812,38082.1933487812,0.9653304355,0,0.4162924084,0.9653304355,0,0.4162924084,0.9653304355,0,0.4162924084
9,39974.0525314165,39974.0525314165,39974.0525314165,0.9622512599,0.0047050781,0.4163065312,0.9622512599,0.0047050781,0.4163065312,0.9622512599,0.0047050781,0.4163065312
10,42329.9889030883,42329.9889030883,42329.9889030883,0.9616226311,0.0264868667,0.4163206545,0.9616226311,0.0264868667,0.4163206545,0.9616226311,0.0264868667,0.4163206545
11,45379.639002471,45379.639002471,45379.639002471,0.9618554467,0.0366326843,0.4163347782,0.9618554467,0.0366326843,0.4163347782,0.9618554467,0.0366326843,0.4163347782
12,46392.3457462483,46392.3457462483,46392.3457462483,0.9571176154,0.0425179761,0.4163489024,0.9571176154,0.0425179761,0.4163489024,0.9571176154,0.0425179761,0.4163489024
13,46598.9225488215,46598.9225488215,46598.9225488215,0.9585970874,0.0502051423,0.4163630272,0.9585970874,0.0502051423,0.4163630272,0.9585970874,0.0502051423,0.4163630272
14,45802.4008309928,45802.4008309928,45802.4008309928,0.9589926236,0.0378279116,0.4163771526,0.9589926236,0.0378279116,0.4163771526,0.9589926236,0.0378279116,0.4163771526
15,45774.5369832039,45774.5369832039,45774.5369832039,0.9589926236,0.0179090692,0.4163912787,0.9589926236,0.0179090692,0.4163912787,0.9589926236,0.0179090692,0.4163912787
16,48097.805395399,48097.805395399,48097.805395399,0.9611058221,0.0007420231,0.4164054056,0.9611058221,0.0007420231,0.4164054056,0.9611058221,0.0007420231,0.4164054056
17,52560.8251533172,52560.8251533172,52560.8251533172,0.9580294355,0,0.4164195333,0.9580294355,0,0.4164195333,0.9580294355,0,0.4164195333
18,53885.7991567982,53885.7991567982,53885.7991567982,0.9516504622,0,0.4164336619,0.9516504622,0,0.4164336619,0.9516504622,0,0.4164336619
19,53289.1284851799,53289.1284851799,53289.1284851799,0.9292642145,0,0.4164477914,0.9292642145,0,0.4164477914,0.9292642145,0,0.4164477914
20,51142.6513830939,51142.6513830939,51142.6513830939,0.9107303677,0,0.4164619219,0.9107303677,0,0.4164619219,0.9107303677,0,0.4164619219
21,50796.755341576,50796.755341576,50796.755341576,0.884752297,0,0.4164760535,0.884752297,0,0.4164760535,0.884752297,0,0.4164760535
22,51205.1048350346,51205.1048350346,51205.1048350346,0.8641925863,0,0.4164901862,0.8641925863,0,0.4164901862,0.8641925863,0,0.4164901862
23,47946.9562884037,47946.9562884037,47946.9562884037,0.8539934733,0,0.4165043202,0.8539934733,0,0.4165043202,0.8539934733,0,0.4165043202
24,44986.6626664131,44986.6626664131,44986.6626664131,0.8466939286,0,0.4165184554,0.8466939286,0,0.4165184554,0.8466939286,0,0.4165184554
25,42641.2953404544,42641.2953404544,42641.2953404544,0.7563349712,0,0.4165325919,0.7563349712,0,0.4165325919,0.7563349712,0,0.4165325919
26,41620.9020179767,41620.9020179767,41620.9020179767,0.7246589507,0,0.4165467298,0.7246589507,0,0.4165467298,0.7246589507,0,0.4165467298
27,41525.7806065592,41525.7806065592,41525.7806065592,0.6927178211,0,0.4165608691,0.6927178211,0,0.4165608691,0.6927178211,0,0.4165608691
28,41841.8911556131,41841.8911556131,41841.8911556131,0.6663226928,0,0.4165750099,0.6663226928,0,0.4165750099,0.6663226928,0,0.4165750099
29,43825.0284603156,43825.0284603156,43825.0284603156,0.654331639,0,0.4165891523,0.654331639,0,0.4165891523,0.654331639,0,0.4165891523
30,48708.8884020806,48708.8884020806,48708.8884020806,0.6720647246,0,0.4166032964,0.6720647246,0,0.4166032964,0.6720647246,0,0.4166032964
31,54815.8751795463,54815.8751795463,54815.8751795463,0.7880682047,0,0.4166174421,0.7880682047,0,0.4166174421,0.7880682047,0,0.4166174421
32,58782.1497889513,58782.1497889513,58782.1497889513,0.7999916786,0,0.4166315896,0.7999916786,0,0.4166315896,0.7999916786,0,0.4166315896
33,60837.3487689701,60837.3487689701,60837.3487689701,0.8133550802,0.0221365144,0.4166457389,0.8133550802,0.0221365144,0.4166457389,0.8133550802,0.0221365144,0.4166457389
34,62593.7320020109,62593.7320020109,62593.7320020109,0.8142862872,0.0459400361,0.4166598901,0.8142862872,0.0459400361,0.4166598901,0.8142862872,0.0459400361,0.4166598901
35,64619.1454895656,64619.1454895656,64619.1454895656,0.8118979806,0.0552743614,0.4166740432,0.8118979806,0.0552743614,0.4166740432,0.8118979806,0.0552743614,0.4166740432
36,64843.0170942147,64843.0170942147,64843.0170942147,0.8043602871,0.0594142702,0.4166881983,0.8043602871,0.0594142702,0.4166881983,0.8043602871,0.0594142702,0.4166881983
37,64238.6598438959,64238.6598438959,64238.6598438959,0.8015923336,0.0469594273,0.4167023555,0.8015923336,0.0469594273,0.4167023555,0.8015923336,0.0469594273,0.4167023555
38,63650.6365733155,63650.6365733155,63650.6365733155,0.7574163175,0.0333823889,0.4167165148,0.7574163175,0.0333823889,0.4167165148,0.7574163175,0.0333823889,0.4167165148
39,63104.8894855873,63104.8894855873,63104.8894855873,0.7119536552,0.0168504902,0.4167306763,0.7119536552,0.0168504902,0.4167306763,0.7119536552,0.0168504902,0.4167306763
40,64605.6939768399,64605.6939768399,64605.6939768399,0.6737819587,0.0002458142,0.4167448401,0.6737819587,0.0002458142,0.4167448401,0.6737819587,0.0002458142,0.4167448401
41,66920.3149879971,66920.3149879971,66920.3149879971,0.6574855383,0,0.4167590062,0.6574855383,0,0.4167590062,0.6574855383,0,0.4167590062
42,66566.7323677788,66566.7323677788,66566.7323677788,0.6432641598,0,0.4167731746,0.6432641598,0,0.4167731746,0.6432641598,0,0.4167731746
43,64395.2738849165,64395.2738849165,64395.2738849165,0.7439092311,0,0.4167873455,0.7439092311,0,0.4167873455,0.7439092311,0,0.4167873455
44,60880.5857741598,60880.5857741598,60880.5857741598,0.6864575466,0,0.4168015188,0.6864575466,0,0.4168015188,0.6864575466,0,0.4168015188
45,59128.0458304692,59128.0458304692,59128.0458304692,0.6268473087,0,0.4168156948,0.6268473087,0,0.4168156948,0.6268473087,0,0.4168156948
46,58004.8445178736,58004.8445178736,58004.8445178736,0.5988197273,0,0.4168298733,0.5988197273,0,0.4168298733,0.5988197273,0,0.4168298733
47,53479.3713080147,53479.3713080147,53479.3713080147,0.6133987452,0,0.4168440545,0.6133987452,0,0.4168440545,0.6133987452,0,0.4168440545
48,49534.2347900357,49534.2347900357,49534.2347900357,0.6394952211,0,0.4168582385,0.6394952211,0,0.4168582385,0.6394952211,0,0.4168582385
49,47558.7840640336,47558.7840640336,47558.7840640336,0.708913576,0,0.4168724253,0.708913576,0,0.4168724253,0.708913576,0,0.4168724253
50,46482.663045978,46482.663045978,46482.663045978,0.7059111321,0,0.4168866149,0.7059111321,0,0.4168866149,0.7059111321,0,0.4168866149
51,46549.9206096065,46549.9206096065,46549.9206096065,0.6708195392,0,0.4169008075,0.6708195392,0,0.4169008075,0.6708195392,0,0.4169008075
52,47392.5617996375,47392.5617996375,47392.5617996375,0.6137212797,0,0.416915003,0.6137212797,0,0.416915003,0.6137212797,0,0.416915003
53,49123.963651902,49123.963651902,49123.963651902,0.5513904556,0,0.4169292016,0.5513904556,0,0.4169292016,0.5513904556,0,0.4169292016
54,52818.3255397805,52818.3255397805,52818.3255397805,0.5092526802,0,0.4169434033,0.5092526802,0,0.4169434033,0.5092526802,0,0.4169434033
55,58345.9364477038,58345.9364477038,58345.9364477038,0.5758731877,0,0.4169576082,0.5758731877,0,0.4169576082,0.5758731877,0,0.4169576082
56,61551.2397657695,61551.2397657695,61551.2397657695,0.5337027781,0,0.4169718163,0.5337027781,0,0.4169718163,0.5337027781,0,0.4169718163
57,62745.5419313437,62745.5419313437,62745.5419313437,0.5336038158,0.0116130691,0.4169860277,0.5336038158,0.0116130691,0.4169860277,0.5336038158,0.0116130691,0.4169860277
58,64019.5923509346,64019.5923509346,64019.5923509346,0.5305255111,0.042743942,0.4170002424,0.5305255111,0.042743942,0.4170002424,0.5305255111,0.042743942,0.4170002424
59,65408.9414510314,65408.9414510314,65408.9414510314,0.5265214076,0.0627454859,0.4170144606,0.5265214076,0.0627454859,0.4170144606,0.5265214076,0.0627454859,0.4170144606
60,65162.0101102811,65162.0101102811,65162.0101102811,0.5255511613,0.0703509685,0.4170286822,0.5255511613,0.0703509685,0.4170286822,0.5255511613,0.0703509685,0.4170286822
